"CHILDID","mm1","mm2","mm3","w1","w2","w3","POST","cons","Mob","PRE","RET","wM","wPRE","wRET"
"1089010C",48,0,0,1,0,0,99.86,1,0,46.6,2,-0.147248859782482,-24.280513244065,-0.72026663548123
"1089013C",48,0,0,1,0,0,83.08,1,0,43.78,2,-0.147248859782482,-24.280513244065,-0.72026663548123
"1089020C",48,0,0,1,0,0,103.39,1,0,42.15,2,-0.147248859782482,-24.280513244065,-0.72026663548123
"1090007C",49,0,0,1,0,0,141.62,1,0,52.51,0,0.227751140217518,-3.51592991073169,-2.72026663548123
"1090017C",49,0,0,1,0,0,103.36,1,0,43.18,0,0.227751140217518,-3.51592991073169,-2.72026663548123
"1090022C",49,0,0,1,0,0,138.83,1,0,73.2,0,0.227751140217518,-3.51592991073169,-2.72026663548123
"1091001C",50,0,0,1,0,0,160.2,1,0,112.98,0,-0.129391716925339,5.57359389879212,-2.72026663548123
"1091004C",50,0,0,1,0,0,133.63,1,0,54.58,0,-0.129391716925339,5.57359389879212,-2.72026663548123
"1091008C",50,0,0,1,0,0,148.45,1,0,71.34,0,-0.129391716925339,5.57359389879212,-2.72026663548123
"1091010C",50,0,0,1,0,0,116.68,1,0,54.71,0,-0.129391716925339,5.57359389879212,-2.72026663548123
"1091011C",50,0,0,1,0,0,131.91,1,0,55.92,0,-0.129391716925339,5.57359389879212,-2.72026663548123
"1091012C",50,0,0,1,0,0,141.33,1,0,89.08,0,-0.129391716925339,5.57359389879212,-2.72026663548123
"1092004C",51,0,0,1,0,0,141.63,1,0,66.04,1,-0.16113774867137,1.81407008926831,-1.72026663548123
"1092005C",51,0,0,1,0,0,102.04,1,0,49.9,1,-0.16113774867137,1.81407008926831,-1.72026663548123
"1092009C",51,0,0,1,0,0,139.75,1,0,101.7,1,-0.16113774867137,1.81407008926831,-1.72026663548123
"1092010C",51,0,0,1,0,0,143.1,1,0,89.16,1,-0.16113774867137,1.81407008926831,-1.72026663548123
"1092011C",51,0,0,1,0,0,95.61,1,0,58.51,1,-0.16113774867137,1.81407008926831,-1.72026663548123
"1092013C",51,0,0,1,0,0,94.33,1,0,41.29,1,-0.16113774867137,1.81407008926831,-1.72026663548123
"1092019C",51,0,0,1,0,0,108.73,1,0,50.59,1,-0.16113774867137,1.81407008926831,-1.72026663548123
"1092023C",51,0,0,1,0,0,129.67,1,0,64.65,1,-0.16113774867137,1.81407008926831,-1.72026663548123
"1094003C",52,0,0,1,0,0,128.33,1,0,63.89,0,-0.181339768873391,12.3571003922986,-2.72026663548123
"1094004C",52,0,0,1,0,0,150.74,1,0,69.84,0,-0.181339768873391,12.3571003922986,-2.72026663548123
"1094009C",52,0,0,1,0,0,150.83,1,0,88.27,0,-0.181339768873391,12.3571003922986,-2.72026663548123
"1094010C",52,0,0,1,0,0,134.77,1,0,75.8,0,-0.181339768873391,12.3571003922986,-2.72026663548123
"1094014C",52,0,0,1,0,0,115.84,1,0,60.88,0,-0.181339768873391,12.3571003922986,-2.72026663548123
"1094016C",52,0,0,1,0,0,117.63,1,0,59.47,0,-0.181339768873391,12.3571003922986,-2.72026663548123
"1094019C",52,0,0,1,0,0,153.58,1,0,91.8,0,-0.181339768873391,12.3571003922986,-2.72026663548123
"1094021C",52,0,0,1,0,0,133.8,1,0,66.12,0,-0.181339768873391,12.3571003922986,-2.72026663548123
"1094022C",52,0,0,1,0,0,120.64,1,0,61.82,0,-0.181339768873391,12.3571003922986,-2.72026663548123
"1094025C",52,0,0,1,0,0,158.97,1,0,98.72,0,-0.181339768873391,12.3571003922986,-2.72026663548123
"1097001C",463,0,0,1,0,0,104.99,1,0,53.13,6,0.227751140217518,-6.60426324406502,3.27973336451877
"0212022C",232,610,0,0.5,0.5,0,159.51,1,1,68.84,0,-0.143460980994603,1.26168372563195,-2.72026663548123
"1097006C",54,0,0,1,0,0,76.64,1,0,-1,0,0.0610844735508517,-18.3437076885095,-2.72026663548123
"0509015C",752,0,0,1,0,0,162.18,1,0,101.48,2,-0.272248859782482,38.850736755935,-0.72026663548123
"1097010C",54,0,0,1,0,0,100.94,1,0,46.31,0,0.0610844735508517,-18.3437076885095,-2.72026663548123
"1097012C",54,0,0,1,0,0,138.21,1,0,72.64,0,0.0610844735508517,-18.3437076885095,-2.72026663548123
"1097016C",54,0,0,1,0,0,82.23,1,0,41.75,0,0.0610844735508517,-18.3437076885095,-2.72026663548123
"0766007C",1144,0,0,1,0,0,76.71,1,0,39.23,6,-0.272248859782482,-13.1725965773984,3.27973336451877
"0216001C",243,1809,0,0.5,0.5,0,142.82,1,1,91.15,7,0.727751140217518,0.075022470220695,4.27973336451877
"0216006C",243,1809,0,0.5,0.5,0,130.71,1,1,66.04,7,0.727751140217518,0.075022470220695,4.27973336451877
"0216008C",243,1809,0,0.5,0.5,0,128.99,1,1,63.97,7,0.727751140217518,0.075022470220695,4.27973336451877
"0216009C",243,1809,0,0.5,0.5,0,64.8,1,1,37.99,7,0.727751140217518,0.075022470220695,4.27973336451877
"0216015C",243,1809,0,0.5,0.5,0,120.92,1,1,64.5,7,0.727751140217518,0.075022470220695,4.27973336451877
